dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Pumpkin cookies ,-0.0817884258235976,1.5734559019279812,-0.651838647313859,-0.6035339991580679,1.8424477558803958,-0.325776935437396,-0.24550859296266817,-0.6010706564345493,-0.40585982889237854,-0.5192751883365738,-0.6362737744745569,1.5734559019279812,-0.651838647313859,-0.6035339991580678,1.6193175842782368,-0.4837421242891973,-0.8523172897096133
Greenpea cookies,-0.3963367837034768,0.28175930050281955,0.5164101914058691,-0.5883693168044454,0.45466116662504624,1.2119875996976608,-0.1435473767067535,-0.16952078252348451,0.21909385190819083,0.08335453039568055,-0.24731825326184673,0.28175930050281955,0.5164101914058691,-0.5883693168044454,0.6987173223319729,0.1339677386492591,-0.6841329940047375
Sunflower cookies,1.5299919186738093,1.2968344743332314,1.3766133164333305,0.9789739819376991,1.249183133566228,0.717448300839673,-0.1711050800185645,0.15684900867773324,0.705899876952845,-0.5681370574229728,0.19815379916425627,1.2968344743332314,1.3766133164333305,0.9789739819376988,-0.3425487333575751,-0.34255174520132603,0.15835653282809528
Cardamom cookies (Elaichi cookies),0.8893222979191489,2.1290885750664645,0.10083908708516967,0.13953543616943448,2.438137165479227,0.29871429596721627,-0.21867097895348844,-0.5142859619560436,0.17962309312078642,-0.5681370574229728,-0.11963275681677397,2.1290885750664645,0.10083908708516967,0.13953543616943448,0.5465621729255681,-0.4577132602309343,-0.27070435078914395
Hazelnut cookies,1.3843973074476188,1.259792296123999,0.43503962552489295,0.9148909694111007,1.0657075623600751,0.1759819152287376,-0.22860935432869361,-0.18465247284281375,0.10068157554597773,-0.5681370574229728,-0.41458435069138305,1.259792296123999,0.43503962552489295,0.9148909694111007,-0.29643011687501014,-0.4590786938356295,0.1818366522305608
Milk cookies,1.2036573303613338,1.796903880157866,1.6672224802939595,0.4252184843796131,1.0697488745011796,-0.3510453667659063,-0.1854782910988641,2.8440591895044873,-0.2545552535406617,-0.4894151572282189,-0.4128717285334014,1.796903880157866,1.6672224802939595,0.42521848437961307,0.0948607486951549,-0.2460356109184466,-0.14192186536677903
Cranberry cookies,0.20662756593876022,1.0775686775140663,-0.2420797262703723,-0.17647697674798918,0.9000137645747829,-0.30050850410888574,-0.2416452567041065,-0.35184281588089217,-0.2808690927322647,-0.3540755357111296,-0.4572096132900362,1.0775686775140663,-0.2420797262703723,-0.1764769767479892,0.5272201954143502,-0.42308479773360347,-0.2957189764634552
Olive biscuit,1.0909148365400276,2.190028932765524,-0.451318324250025,0.3660273048703124,1.8949848137147574,-0.4124115571351457,-0.2062980159360536,-0.7286515748132072,0.15330925392918363,-0.5681370574229728,-0.741314600164095,2.190028932765524,-0.451318324250025,0.3660273048703123,0.40367061054541875,-0.5716051674159108,-0.14466545375318993
Tutti fruitti biscuit,0.9975316261894563,2.0771100346760902,0.13280609510983896,0.0798550733584039,0.5597352822937681,1.2516951346424625,-0.22172278599797351,-0.5350549486688484,0.5414383820053267,-0.5681370574229728,-0.49564846616917885,2.0771100346760902,0.13280609510983896,0.07985507335840392,0.41490658592978685,-0.46510509869618555,-0.3724034216708593
Peach blueberry preserves,-0.3005536621788476,1.637383532063269,-1.2272447917579041,-0.7859993707032676,2.950575544971301,-0.29689872820481283,-0.27332918601988426,-0.7543161083940302,-0.5308505650524924,0.07404750771255686,-0.467295054887039,1.637383532063269,-1.2272447917579041,-0.7859993707032674,2.4391218831749217,-0.6620170549278283,-1.1821001814490775
Pear preserves (Naashpati ka murabba),-0.7066186328294749,0.4370974671866967,-1.3086153576388802,-0.7864885540049973,1.322735014534333,0.39617824537718466,-0.27373495062692255,-0.79081018504653,-0.5966351630314998,0.03875838003904654,-0.3673920956714456,0.4370974671866967,-1.3086153576388802,-0.7864885540049972,2.3711850000608155,-0.6728869366874988,-1.1674517266404951
Starfruit preserves ,-0.5589440985857675,0.9120737845470126,-1.3115214492774865,-0.7899128371171056,1.9919763051012693,-0.4268506607514373,-0.2737578106047839,-0.8105407224236945,-0.616370542425202,0.11631690239840996,-0.7024951645831787,0.9120737845470126,-1.3115214492774865,-0.7899128371171055,2.481906748920253,-0.6856297303516719,-1.1859477220033303
Gooseberry pickle (Amla ka achaar),0.23915969518710292,-0.641905336779003,-0.9308234446200627,0.554852059337999,-0.6841805947382547,0.6272039032378505,-0.22556897727313918,-0.42586941852153193,-0.06377991940154053,-0.3800576407015163,-0.744930135830945,-0.641905336779003,-0.9308234446200627,0.5548520593379989,-1.1051452046449144,-0.608019452995362,0.7336466821680759
