dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05,156.96,19.96,73.35000000000001,64.26202661207779,8.171954964176049,30.030706243602868
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,456.57,172.35,0.84,0.0,12.7,84.04,31.16,117.09,36.95365403218715,13.701521414123649,51.486236918476834
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,85.68,27.28,116.55,38.151215602457924,12.147119066702288,51.8968741651082
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01,100.68,18.4,48.87,61.055184960582174,11.158277744087325,29.636143117040632
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,268.9,274.1,1.26,4.85,52.13,96.2,49.6,107.82000000000001,38.547844205802214,19.87497996473794,43.204039108831545
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,75.28,48.32,47.88,44.97819202963494,28.87016789149788,28.60727728983689
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29,81.04,44.24,50.49,47.176621259750846,25.75387123064385,29.392245895913376
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,73.96,26.96,104.04,36.82716725588806,13.424289199820743,51.80500921177115
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,128.78,43.44,0.72,6.92,8.87,44.6,7.6,444.42,9.006643914457078,1.5347644338536721,89.74736969648013
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58,35.48,10.56,36.72,43.49638347431654,12.945936005884517,45.01655020228025
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,49.56,15.0,36.72,49.12280701754386,14.867677668748142,36.39607493309545
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,35.08,10.4,28.98,48.15374056280027,14.275909402882636,39.780370624571034
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87,59.8,14.36,46.08,50.96735702718828,12.238984062047217,39.273843006903604
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,62.28,14.48,35.910000000000004,55.38954108858057,12.87797936677339,31.93703308431164
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,62.28,14.48,35.910000000000004,55.38954108858057,12.87797936677339,31.93703308431164
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,62.68,14.48,36.36,55.31238969290505,12.777973879279916,32.086127779738796
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,62.68,14.48,36.36,55.31238969290505,12.777973879279916,32.086127779738796
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,0.48,17.72,27.36,1.0584343991179712,39.073869900771776,60.33076074972436
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,446.96,46.4,1.69,0.0,24.77,1.24,46.36,176.58,0.5543881611302365,20.72696383064336,78.94666249385256
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0.0,24.77,1.48,47.92,73.71,1.1948010010494872,38.685718898845565,59.505933640106555
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82,5.4,41.16,109.89000000000001,3.4622042700519335,26.38969032506251,70.45585689555685
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,523.29,164.05,1.48,0.0,35.72,61.68,47.52,113.85000000000001,28.183687457162442,21.713502398903362,52.021932830705964
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48,2.56,38.64,231.66,0.9397599207077566,14.184501303182701,85.04093094967145
